design_version,group_id,scenario_key,scenario_label,scenario_n_stays,n_stays,rep,method,loss,oracle_loss,regret,regret_percent_of_oracle,stay_loss_sd,n_assessment_stays,calibration_p_lt,calibration_p_le,calibration_interval_violation,calibration_strict_absolute_error,offset_bias,offset_rmse,offset_correlation
ademp-v2,10000000,transient_nonpersistent,Transient non-persistence,600,600,1,oracle,0.9737878653834711,0.9737878653834711,0.0,0.0,0.2943907012264259,120,0.10694243256743258,0.10694243256743258,0.0069424325674325715,0.0069424325674325715,,,
ademp-v2,10000000,transient_nonpersistent,Transient non-persistence,600,600,1,population,1.0106444170116378,0.9737878653834711,0.0368565516281667,3.7848645416887425,0.2605268698615377,120,0.05942044067044067,0.05942044067044067,0.04057955932955933,0.04057955932955933,,,
ademp-v2,10000000,transient_nonpersistent,Transient non-persistence,600,600,1,raw_index_q10,2.1084064024842055,0.9737878653834711,1.1346185371007345,116.51598643139071,1.7393875797418652,120,0.27604145854145856,0.27604145854145856,0.17604145854145856,0.17604145854145856,,,
ademp-v2,10000000,transient_nonpersistent,Transient non-persistence,600,600,1,affine_calibrated_q10,1.0595934964744458,0.9737878653834711,0.08580563109097472,8.811532176690767,0.36515062122405745,120,0.12830963018463018,0.12830963018463018,0.028309630184630175,0.028309630184630175,,,
ademp-v2,10000000,transient_nonpersistent,Transient non-persistence,600,600,1,unpenalized_level,2.1084064024842055,0.9737878653834711,1.1346185371007345,116.51598643139071,1.7393875797418652,120,0.27604145854145856,0.27604145854145856,0.17604145854145856,0.17604145854145856,2.7186277994858914,7.599553981389914,
ademp-v2,10000000,transient_nonpersistent,Transient non-persistence,600,600,1,tuned_level,1.0107090522876272,0.9737878653834711,0.036921186904156134,3.7915020526176737,0.2605656253142168,120,0.05942044067044067,0.05942044067044067,0.04057955932955933,0.04057955932955933,-0.0005750000000000001,0.003722491698371461,
ademp-v2,10000000,transient_nonpersistent,Transient non-persistence,600,600,1,tuned_level_slope,1.010683493560792,0.9737878653834711,0.03689562817732095,3.7888773817069183,0.260556171548749,120,0.05942044067044067,0.05942044067044067,0.04057955932955933,0.04057955932955933,-0.00033707501491925327,0.0026562171294115433,
ademp-v2,10000001,transient_nonpersistent,Transient non-persistence,600,600,2,oracle,0.9227576512116645,0.9227576512116645,0.0,0.0,0.3584043884800438,120,0.08987454674954674,0.08987454674954674,0.010125453250453262,0.010125453250453262,,,
ademp-v2,10000001,transient_nonpersistent,Transient non-persistence,600,600,2,population,0.9787085281050462,0.9227576512116645,0.05595087689338163,6.063442207161659,0.299522470671131,120,0.04831182706182705,0.04831182706182705,0.051688172938172953,0.051688172938172953,,,
ademp-v2,10000001,transient_nonpersistent,Transient non-persistence,600,600,2,raw_index_q10,1.687674013948093,0.9227576512116645,0.7649163627364285,82.89461070650825,1.600297952246911,120,0.20014009139009137,0.20014009139009137,0.10014009139009136,0.10014009139009136,,,
ademp-v2,10000001,transient_nonpersistent,Transient non-persistence,600,600,2,affine_calibrated_q10,1.0027636407448395,0.9227576512116645,0.08000598953317495,8.670314402499923,0.4791776837386478,120,0.09598637473637474,0.09598637473637474,0.004013625263625267,0.004013625263625267,,,
ademp-v2,10000001,transient_nonpersistent,Transient non-persistence,600,600,2,unpenalized_level,1.687674013948093,0.9227576512116645,0.7649163627364285,82.89461070650825,1.600297952246911,120,0.20014009139009137,0.20014009139009137,0.10014009139009136,0.10014009139009136,1.4855833456995127,6.986969853178078,
ademp-v2,10000001,transient_nonpersistent,Transient non-persistence,600,600,2,tuned_level,0.9787568980607078,0.9227576512116645,0.05599924684904323,6.068684098745877,0.29949905438075014,120,0.04831182706182705,0.04831182706182705,0.051688172938172953,0.051688172938172953,-0.0010527777777777775,0.004047804617594854,
ademp-v2,10000001,transient_nonpersistent,Transient non-persistence,600,600,2,tuned_level_slope,0.9787389190755594,0.9227576512116645,0.0559812678638949,6.066735701447332,0.2994949639825166,120,0.04831182706182705,0.04831182706182705,0.051688172938172953,0.051688172938172953,-0.0007758134590353919,0.00309703361324257,
ademp-v2,10000002,transient_nonpersistent,Transient non-persistence,600,600,3,oracle,0.9842459635765021,0.9842459635765021,0.0,0.0,0.3162306370236894,120,0.10066422003922004,0.10066422003922004,0.000664220039220037,0.000664220039220037,,,
ademp-v2,10000002,transient_nonpersistent,Transient non-persistence,600,600,3,population,1.0271111497438892,0.9842459635765021,0.042865186167387104,4.355129485278844,0.2457906630221139,120,0.059426406926406924,0.059426406926406924,0.04057359307359308,0.04057359307359308,,,
ademp-v2,10000002,transient_nonpersistent,Transient non-persistence,600,600,3,raw_index_q10,2.1101110737308413,0.9842459635765021,1.125865110154339,114.38859307720489,1.7227744367325482,120,0.2593250730750731,0.2593250730750731,0.15932507307507307,0.15932507307507307,,,
ademp-v2,10000002,transient_nonpersistent,Transient non-persistence,600,600,3,affine_calibrated_q10,1.0929068112679914,0.9842459635765021,0.10866084769148932,11.04000948062242,0.4686430439737183,120,0.11880926943426943,0.11880926943426943,0.01880926943426943,0.01880926943426943,,,
ademp-v2,10000002,transient_nonpersistent,Transient non-persistence,600,600,3,unpenalized_level,2.1101110737308413,0.9842459635765021,1.125865110154339,114.38859307720489,1.7227744367325482,120,0.2593250730750731,0.2593250730750731,0.15932507307507307,0.15932507307507307,2.3710810042490587,8.105128904988023,
ademp-v2,10000002,transient_nonpersistent,Transient non-persistence,600,600,3,tuned_level,1.0271077883483402,0.9842459635765021,0.042861824771838086,4.354787965407448,0.24574443469420554,120,0.059426406926406924,0.059426406926406924,0.04057359307359308,0.04057359307359308,-0.0009124999999999999,0.004352973653679704,
ademp-v2,10000002,transient_nonpersistent,Transient non-persistence,600,600,3,tuned_level_slope,1.027115538858023,0.9842459635765021,0.04286957528152102,4.355575421995512,0.24576431401589627,120,0.059426406926406924,0.059426406926406924,0.04057359307359308,0.04057359307359308,-0.0006521374351730524,0.0032770833861087583,
ademp-v2,10000003,transient_nonpersistent,Transient non-persistence,600,600,4,oracle,0.9237950040328402,0.9237950040328402,0.0,0.0,0.27023727488529187,120,0.09212882025382024,0.09212882025382024,0.007871179746179763,0.007871179746179763,,,
ademp-v2,10000003,transient_nonpersistent,Transient non-persistence,600,600,4,population,0.9711660254562674,0.9237950040328402,0.047371021423427195,5.127871575038653,0.22972119039780162,120,0.05624121249121249,0.05624121249121249,0.04375878750878751,0.04375878750878751,,,
ademp-v2,10000003,transient_nonpersistent,Transient non-persistence,600,600,4,raw_index_q10,1.7232559446125526,0.9237950040328402,0.7994609405797124,86.54094654004993,1.4127203599335583,120,0.24365847115847114,0.24365847115847114,0.14365847115847113,0.14365847115847113,,,
ademp-v2,10000003,transient_nonpersistent,Transient non-persistence,600,600,4,affine_calibrated_q10,0.9733536084196143,0.9237950040328402,0.04955860438677406,5.364675514635311,0.3033921667080523,120,0.09659072409072407,0.09659072409072407,0.0034092759092759356,0.0034092759092759356,,,
ademp-v2,10000003,transient_nonpersistent,Transient non-persistence,600,600,4,unpenalized_level,1.7232559446125526,0.9237950040328402,0.7994609405797124,86.54094654004993,1.4127203599335583,120,0.24365847115847114,0.24365847115847114,0.14365847115847113,0.14365847115847113,2.354579643263721,7.153772468048988,
ademp-v2,10000003,transient_nonpersistent,Transient non-persistence,600,600,4,tuned_level,0.9713613559745146,0.9237950040328402,0.047566351941674356,5.1490159325416105,0.22985175912782024,120,0.05624121249121249,0.05624121249121249,0.04375878750878751,0.04375878750878751,-0.004374999999999999,0.03710876156900396,
ademp-v2,10000003,transient_nonpersistent,Transient non-persistence,600,600,4,tuned_level_slope,0.9711819280134347,0.9237950040328402,0.04738692398059452,5.129593012922373,0.2297275576496641,120,0.05624121249121249,0.05624121249121249,0.04375878750878751,0.04375878750878751,-0.0003156504951104923,0.002804194391302981,
ademp-v2,10000004,transient_nonpersistent,Transient non-persistence,600,600,5,oracle,1.0108963192733806,1.0108963192733806,0.0,0.0,0.29787288876501944,120,0.12540521978021976,0.12540521978021976,0.025405219780219757,0.025405219780219757,,,
ademp-v2,10000004,transient_nonpersistent,Transient non-persistence,600,600,5,population,1.0072075823083497,1.0108963192733806,-0.0036887369650309143,-0.364897655150464,0.25518079443988695,120,0.07530367780367779,0.07530367780367779,0.024696322196322215,0.024696322196322215,,,
ademp-v2,10000004,transient_nonpersistent,Transient non-persistence,600,600,5,raw_index_q10,1.95258101151406,1.0108963192733806,0.9416846922406794,93.15343960472131,1.6485494493688881,120,0.24451474451474453,0.24451474451474453,0.14451474451474453,0.14451474451474453,,,
ademp-v2,10000004,transient_nonpersistent,Transient non-persistence,600,600,5,affine_calibrated_q10,1.0620208823334598,1.0108963192733806,0.051124563060079176,5.057349807824689,0.35811376532892153,120,0.11466669904169904,0.11466669904169904,0.014666699041699038,0.014666699041699038,,,
ademp-v2,10000004,transient_nonpersistent,Transient non-persistence,600,600,5,unpenalized_level,1.95258101151406,1.0108963192733806,0.9416846922406794,93.15343960472131,1.6485494493688881,120,0.24451474451474453,0.24451474451474453,0.14451474451474453,0.14451474451474453,2.1191741964242192,6.773257492904142,
ademp-v2,10000004,transient_nonpersistent,Transient non-persistence,600,600,5,tuned_level,1.0072472318987282,1.0108963192733806,-0.0036490873746524155,-0.3609754338877535,0.2551935507656186,120,0.07530367780367779,0.07530367780367779,0.024696322196322215,0.024696322196322215,-0.000709722222222222,0.0038445789154388592,
ademp-v2,10000004,transient_nonpersistent,Transient non-persistence,600,600,5,tuned_level_slope,1.007239775473225,1.0108963192733806,-0.003656543800155676,-0.36171303925450565,0.25519286543337594,120,0.07530367780367779,0.07530367780367779,0.024696322196322215,0.024696322196322215,-0.0005345779649104032,0.0029981759072053795,
ademp-v2,10000005,transient_nonpersistent,Transient non-persistence,600,600,6,oracle,0.9802366899098618,0.9802366899098618,0.0,0.0,0.35477308835598254,120,0.10026878214378214,0.10026878214378214,0.00026878214378213416,0.00026878214378213416,,,
ademp-v2,10000005,transient_nonpersistent,Transient non-persistence,600,600,6,population,1.0180851754804485,0.9802366899098618,0.03784848557058673,3.861157816288953,0.27375976222944504,120,0.05713642838642838,0.05713642838642838,0.04286357161357163,0.04286357161357163,,,
ademp-v2,10000005,transient_nonpersistent,Transient non-persistence,600,600,6,raw_index_q10,1.8710130777459957,0.9802366899098618,0.8907763878361339,90.87360195811951,1.5538679597838203,120,0.23950593388093389,0.23950593388093389,0.13950593388093388,0.13950593388093388,,,
ademp-v2,10000005,transient_nonpersistent,Transient non-persistence,600,600,6,affine_calibrated_q10,1.0442153199466127,0.9802366899098618,0.06397863003675086,6.526855268255063,0.3706882705711541,120,0.11899635087135087,0.11899635087135087,0.01899635087135086,0.01899635087135086,,,
ademp-v2,10000005,transient_nonpersistent,Transient non-persistence,600,600,6,unpenalized_level,1.8710130777459957,0.9802366899098618,0.8907763878361339,90.87360195811951,1.5538679597838203,120,0.23950593388093389,0.23950593388093389,0.13950593388093388,0.13950593388093388,2.175531798709648,7.2752050887598845,
ademp-v2,10000005,transient_nonpersistent,Transient non-persistence,600,600,6,tuned_level,1.0181095195507301,0.9802366899098618,0.037872829640868355,3.8636413052801535,0.2737279424386218,120,0.05713642838642838,0.05713642838642838,0.04286357161357163,0.04286357161357163,-0.0005763888888888887,0.003263823876421076,
ademp-v2,10000005,transient_nonpersistent,Transient non-persistence,600,600,6,tuned_level_slope,1.0181011171619256,0.9802366899098618,0.03786442725206385,3.8627841256937336,0.2737224178581399,120,0.05713642838642838,0.05713642838642838,0.04286357161357163,0.04286357161357163,-0.0004460821124960485,0.0024815020838605747,
ademp-v2,10000006,transient_nonpersistent,Transient non-persistence,600,600,7,oracle,0.932137937876364,0.932137937876364,0.0,0.0,0.247326977063435,120,0.10213383838383837,0.10213383838383837,0.002133838383838363,0.002133838383838363,,,
ademp-v2,10000006,transient_nonpersistent,Transient non-persistence,600,600,7,population,0.9925533354139424,0.932137937876364,0.06041539753757841,6.481379534365837,0.1983379405571814,120,0.04696315258815258,0.04696315258815258,0.05303684741184742,0.05303684741184742,,,
ademp-v2,10000006,transient_nonpersistent,Transient non-persistence,600,600,7,raw_index_q10,1.8625540710963548,0.932137937876364,0.9304161332199908,99.81528434940692,1.5633675364284074,120,0.2229373866873867,0.2229373866873867,0.12293738668738668,0.12293738668738668,,,
ademp-v2,10000006,transient_nonpersistent,Transient non-persistence,600,600,7,affine_calibrated_q10,0.9887524682327253,0.932137937876364,0.056614530356361326,6.073621516290061,0.30427472419296553,120,0.10847018722018721,0.10847018722018721,0.008470187220187206,0.008470187220187206,,,
ademp-v2,10000006,transient_nonpersistent,Transient non-persistence,600,600,7,unpenalized_level,1.8625540710963548,0.932137937876364,0.9304161332199908,99.81528434940692,1.5633675364284074,120,0.2229373866873867,0.2229373866873867,0.12293738668738668,0.12293738668738668,2.0911212612098704,7.659345551101944,
ademp-v2,10000006,transient_nonpersistent,Transient non-persistence,600,600,7,tuned_level,0.9925965450136897,0.932137937876364,0.06045860713732565,6.4860150714458635,0.198323487100202,120,0.04696315258815258,0.04696315258815258,0.05303684741184742,0.05303684741184742,-0.0008208675268699158,0.0038633467590743465,
