decile,stays,admission_window_q10_median,later_map_below65_fraction,population_check_loss,updated_check_loss,loss_reduction_percent,net_check_loss_improvement,share_of_total_net_improvement,cumulative_share_of_total_net_improvement
1,1207,52.0,0.42390541560931705,2.6912376739280397,1.9884097950161257,26.115414692678932,848.3132498466798,0.26277666184385073,0.26277666184385073
2,1206,57.0,0.296619878517059,1.9045034242428172,1.744166067227467,8.418853700885112,193.36685256051214,0.059898034171088355,0.3226746960149391
3,1206,61.0,0.22822997414139098,1.7309243416839866,1.6791198110887269,2.9928824355696535,62.476263897882774,0.019352879463486287,0.3420275754784254
4,1206,64.0,0.1658858884207866,1.7596093786975533,1.7609702477757905,-0.07733927169929522,-1.641208108353923,-0.0005083867170320052,0.34151918876139337
5,1206,66.0,0.12352953770575378,1.7553721174209709,1.7851266901033127,-1.6950578391354343,-35.884014654904206,-0.011115565607723076,0.3304036231536703
6,1206,69.0,0.09166687508227675,1.8457628069832803,1.8667219584701737,-1.135527891644383,-25.276736693193087,-0.007829815804178141,0.32257380734949215
7,1206,72.0,0.05912538287828335,2.0247734264267945,1.9435609226355768,4.010942791487387,97.94227957220829,0.030338964155061404,0.3529127715045536
8,1206,75.0,0.038762418074972826,2.2980638536953806,2.0801300482867755,9.483365967318907,262.8281693227773,0.08141462954357048,0.43432740104812406
9,1206,81.0,0.021276717817456735,2.7207224804261516,2.223712372928858,18.267578228686013,599.3941896417366,0.18567056958160513,0.6199979706297292
10,1207,91.0,0.010362045509543066,3.514373116455101,2.4980118520623207,28.920129727658793,1226.748046122086,0.3800020293702709,1.0
