model,index_information,assessment_loss,assessment_loss_se,n_stays,paired_diff_vs_calibrated_q10,paired_diff_vs_calibrated_q10_se,paired_diff_vs_calibrated_q10_ci_lower,paired_diff_vs_calibrated_q10_ci_upper,calibration_intercept,calibration_slope,calibration_tuning_loss,calibration_coefficients
Baseline covariates quantile,none,2.224679888116584,0.012764141941548205,12062,0.3368796617289976,0.010138160496542451,0.31700886715577437,0.3567504563022208,,,,
Admission window q10 carry forward,raw admission window q10,2.1438683887743557,0.016009102320534256,12062,0.25606816238676916,0.010370113842796867,0.2357427392548873,0.276393585518651,,,,
Selected random-intercept mixed-effects update,profiled intercept,1.9570404343355001,0.011540977903913263,12062,0.06924020794791384,0.005294382390919601,0.05886321846171143,0.07961719743411626,,,,
Calibrated admission window q10,tuning-calibrated affine q10,1.8878002263875862,0.010300650528296743,12062,,,,,19.66666666667661,0.6666666666664972,1.890895546270806,
Calibrated selected update,tuning-calibrated updated q10,1.9089509776086573,0.010149896810409443,12062,0.021150751221071025,0.0035647885912197495,0.014163765582280316,0.028137736859861734,10.545452452145351,0.8181818485195913,1.9067250271440008,
Hybrid q10 + random intercept,q10 and profiled intercept,1.887800226244199,0.010300650320407306,12062,-1.4338721969975345e-10,1.5739777831274262e-09,-3.228383674629509e-09,2.941609235230002e-09,,,1.8908955473442723,19.6667;0.666667;-2.00602e-07
Hybrid q10 + random intercept + count,"q10, profiled intercept, log index count",1.8877544905315335,0.01028759128187335,12062,-4.573585605250445e-05,0.00011070043550856966,-0.00026270870964930097,0.00017123699754429208,,,1.8908959381199484,20.144;0.668304;-0.00433736;-0.226805
q10 + index MAP<65 burden,q10 and index MAP<65 fraction,1.886068564740257,0.010164938008595923,12062,-0.001731661647329587,0.0008872733936537091,-0.003470717498890857,7.394204231682758e-06,,,1.8884112743766124,24.2494;0.606714;-3.46285
