reference,candidate,paired_reduction,paired_reduction_se,ci_low,ci_high,relative_reduction_percent,candidate_better_stay_fraction,n_stays
Population-only QR,Level update,0.26763945378108367,0.012135249394993617,0.2438543649668962,0.2914245425952712,12.030470325673123,0.6382026197977119,12062
Population-only QR,Slope-only update,-0.00024310600466138257,1.0961151886480439e-05,-0.00026458986235888425,-0.0002216221469638809,-0.010927684740621104,0.2694412203614658,12062
Population-only QR,Level + slope update,0.3186061577786231,0.010738583566356492,0.2975585339885644,0.3396537815686818,14.32143831031598,0.6669706516332283,12062
Level update,Level + slope update,0.05096670399753942,0.0029539384968480715,0.0451769845437172,0.05675642345136164,2.6042744494875407,0.48416514674183386,12062
