flagged_percent,later_low_observations_captured,any_later_low_stays_captured,hospital_deaths_captured
0.0082904990880451,4.5770779934090074e-05,0.00017482517482517483,0.0
0.0165809981760902,9.154155986818015e-05,0.00034965034965034965,0.0
0.0248714972641353,0.0003661662394727206,0.0005244755244755245,0.0008517887563884157
0.0331619963521804,0.0008238740388136214,0.0006993006993006993,0.0008517887563884157
0.0414524954402255,0.001281581838154522,0.0008741258741258741,0.0008517887563884157
0.0497429945282706,0.0013273526180886122,0.001048951048951049,0.0008517887563884157
0.058033493616315705,0.0013273526180886122,0.001048951048951049,0.0008517887563884157
0.0663239927043608,0.0015104357378249726,0.0012237762237762239,0.0017035775127768314
0.0746144917924059,0.0015104357378249726,0.0012237762237762239,0.0017035775127768314
0.082904990880451,0.0020596850970340534,0.0013986013986013986,0.002555366269165247
0.09119548996849611,0.0020596850970340534,0.0013986013986013986,0.002555366269165247
0.0994859890565412,0.002471622116440864,0.0015734265734265735,0.002555366269165247
0.1077764881445863,0.0026547052361772243,0.0017482517482517483,0.0034071550255536627
0.11606698723263141,0.0026547052361772243,0.0017482517482517483,0.0034071550255536627
0.1243574863206765,0.0026547052361772243,0.0017482517482517483,0.0034071550255536627
0.1326479854087216,0.0026547052361772243,0.0017482517482517483,0.0034071550255536627
0.1409384844967667,0.0027004760161113144,0.0019230769230769232,0.0034071550255536627
0.1492289835848118,0.0032497253753203956,0.002097902097902098,0.0034071550255536627
0.1575194826728569,0.0032954961552544857,0.0022727272727272726,0.0034071550255536627
0.165809981760902,0.0037074331746612963,0.0024475524475524478,0.0034071550255536627
0.1741004808489471,0.004485536433540827,0.0026223776223776225,0.0034071550255536627
0.18239097993699221,0.0045313072134749175,0.002797202797202797,0.0034071550255536627
0.19068147902503732,0.0045313072134749175,0.002797202797202797,0.0034071550255536627
0.1989719781130824,0.004989015012815818,0.002972027972027972,0.0034071550255536627
0.2072624772011275,0.004989015012815818,0.002972027972027972,0.0034071550255536627
0.2155529762891726,0.005080556572683998,0.003146853146853147,0.004258943781942078
0.22384347537721772,0.005400952032222629,0.003321678321678322,0.004258943781942078
0.23213397446526282,0.005492493592090809,0.0034965034965034965,0.005110732538330494
0.2404244735533079,0.005492493592090809,0.0034965034965034965,0.005110732538330494
0.248714972641353,0.005629805931893079,0.0036713286713286712,0.005110732538330494
0.2570054717293981,0.006224826071036251,0.0038461538461538464,0.005110732538330494
0.2652959708174432,0.006316367630904431,0.004020979020979021,0.005110732538330494
0.2735864699054883,0.006636763090443061,0.004195804195804196,0.005110732538330494
0.2818769689935334,0.006865616990113512,0.004370629370629371,0.005110732538330494
0.2901674680815785,0.007048700109849872,0.004545454545454545,0.005110732538330494
0.2984579671696236,0.007277554009520322,0.00472027972027972,0.00596252129471891
0.3067484662576687,0.007781032588795313,0.0048951048951048955,0.00596252129471891
0.3150389653457138,0.007781032588795313,0.0048951048951048955,0.00596252129471891
0.32332946443375893,0.007872574148663493,0.00506993006993007,0.0068143100511073255
0.331619963521804,0.007872574148663493,0.00506993006993007,0.0068143100511073255
0.33991046260984914,0.008009886488465763,0.005244755244755245,0.0068143100511073255
0.3482009616978942,0.008925302087147565,0.005419580419580419,0.0068143100511073255
0.3564914607859393,0.009383009886488465,0.005594405594405594,0.007666098807495741
0.36478195987398443,0.009428780666422555,0.0057692307692307696,0.008517887563884156
0.3730724589620295,0.009611863786158916,0.005944055944055944,0.009369676320272573
0.38136295805007464,0.010069571585499816,0.006118881118881119,0.009369676320272573
0.3896534571381197,0.010069571585499816,0.006118881118881119,0.009369676320272573
0.3979439562261648,0.010527279384840717,0.006293706293706294,0.009369676320272573
0.40623445531420993,0.010893445624313438,0.006468531468531468,0.009369676320272573
0.414524954402255,0.011030757964115708,0.006643356643356644,0.009369676320272573
0.42281545349030014,0.011076528744049798,0.006818181818181818,0.009369676320272573
0.4311059525783452,0.011213841083852068,0.006993006993006993,0.009369676320272573
0.4393964516663903,0.011442694983522518,0.007167832167832168,0.010221465076660987
