subgroup,stays,any_later_map_below65,auc_admission_window_q10_low_is_risk,vulnerable_quintile_any_later_map_below65,resilient_quintile_any_later_map_below65,risk_difference_any_later_map_below65,risk_difference_ci_low,risk_difference_ci_high,population_check_loss,updated_check_loss,loss_reduction_percent
Overall,12062,0.4742165478361797,0.802205327784798,0.814481409001957,0.11052843888664785,0.7039529701153091,0.6844711818198689,0.7234347584107493,2.224679888116584,1.9570404343355001,12.030470325673129
Age <65 y,5814,0.37702098383212934,0.7867313170325706,0.7288557213930348,0.08168316831683169,0.6471725530762031,0.61772303974006,0.6766220664123462,2.2715023724800263,1.9483947145834324,14.224403276489866
Age >=65 y,6248,0.5646606914212549,0.8007874503968254,0.8635734072022161,0.1785967399007796,0.6849766673014365,0.6582776338358267,0.7116757007670462,2.181109797833445,1.9650856031316788,9.904324620262065
Female,5283,0.5002839295854627,0.8023777789243169,0.8392226148409894,0.1441523118766999,0.6950703029642895,0.6652779122700638,0.7248626936585152,2.2755523026432094,2.0190436134354766,11.272370620081134
Male,6779,0.4539017554211536,0.801183367228353,0.7925170068027211,0.08657373440939105,0.70594327239333,0.6803971804447404,0.7314893643419196,2.185034075173058,1.9087202108238948,12.6457462374942
Elective/nonurgent,3581,0.4596481429768221,0.8012210322730541,0.8105548037889039,0.10594315245478036,0.7046116513341235,0.6689975967293825,0.7402257059388645,2.083184906108839,1.9008280541376563,8.753752556310783
Emergency/urgent,8481,0.48036788114609125,0.8025159743296775,0.8122406639004149,0.1126099706744868,0.6996306932259282,0.6766301232300609,0.7226312632217955,2.284424438354732,1.9807754341572759,13.292144800208302
Index obs <13,4920,0.41727642276422766,0.8050416151952335,0.7925101214574899,0.08584905660377358,0.7066610648537163,0.6762670421910875,0.7370550875163451,2.3093313050987874,1.9675018720632844,14.802095839638755
Index obs >=13,7142,0.5134416129935593,0.7951220785030008,0.8242214532871972,0.12754409769335143,0.6966773555938458,0.6706930307168195,0.7226616804708721,2.166364994311986,1.9498337312242289,9.9951422616356
