density_measure,stratum,stays,median_index_obs,median_late_obs,any_later_map_below65,population_assessment_loss,updated_assessment_loss,loss_reduction_percent,updated_below_fraction_observation
Index observations,Low,4920,11.0,12.0,0.41727642276422766,2.3093313050987874,1.9675018720632844,14.802095839638755,0.12404954981234079
Index observations,Middle,3612,13.0,12.0,0.4659468438538206,2.250834986524754,1.9599888741781217,12.921698573545509,0.13275669371689586
Index observations,High,3530,18.0,12.0,0.5620396600566572,2.0799328096455496,1.9394426897654582,6.75455087917157,0.1362555720653789
Later observations,Low,4122,12.0,9.0,0.32654051431344006,2.5012310234685864,2.0696133773001626,17.256208727567966,0.11331195371942401
Later observations,Middle,4670,13.0,12.0,0.4809421841541756,2.13260296722018,1.8467669415152699,13.403152396317514,0.12098501070663811
Later observations,High,3270,14.0,14.0,0.6507645259938838,2.0075714601854684,1.9726219452132179,1.7408852270205977,0.15195293663805573
