tau,index_hours,lambda_b,population_assessment_loss,population_assessment_loss_se,updated_assessment_loss,updated_assessment_loss_se,n_stays,loss_reduction_percent
0.05,12.0,0.03,1.2974281110258905,0.009025491279173905,1.184530846045547,0.007815820121147572,12062,8.701620075972794
0.1,6.0,0.1,2.2198053747345745,0.010831705060246543,2.054480039681568,0.009298970757419691,12062,7.447740100763321
0.1,12.0,0.03,2.224679888116584,0.012764141941548205,1.9570404343355001,0.011540977903913263,12062,12.030470325673129
0.1,18.0,0.03,2.228861888466263,0.013300798986449902,1.8912125014671421,0.01279493457187199,12062,15.148959598903907
0.2,12.0,0.03,3.654053458631105,0.01899015501882356,3.074607930307666,0.0162561064753983,12062,15.857609498152035
