index_hours,n_stays,event_rate_any_later_map_below65,median_index_obs,median_late_obs,auc_admission_window_q10_low_is_risk,auc_updated_vulnerability,vulnerable_quintile_any_later_map_below65,resilient_quintile_any_later_map_below65,vulnerable_quintile_later_map_below65_fraction,resilient_quintile_later_map_below65_fraction,risk_difference_any_later_map_below65,population_check_loss,updated_check_loss,loss_reduction_percent
1.0,851,0.6886016451233843,4.0,27.0,0.7769817760319402,0.708004378903986,0.9157303370786517,0.34444444444444444,0.27924310578498573,0.04814729980606178,0.5712858926342073,2.2505718764180016,2.318234559472333,-3.0064662125798347
2.0,2219,0.6579540333483551,5.0,24.0,0.7738394968144819,0.7111529229158771,0.8995633187772926,0.3049040511727079,0.30533886733037574,0.03400525374316258,0.5946592676045847,2.2505213427093897,2.2759533453179492,-1.1300493857099816
3.0,6332,0.6193935565382186,4.0,21.0,0.7893343433467132,0.7133777224339347,0.9081866870696251,0.26048565121412803,0.3388812649438066,0.02922753596273321,0.6477010358554971,2.258146645722311,2.202503711509014,2.464097463231786
4.0,9537,0.5992450456118276,5.0,20.0,0.7951401679185707,0.7276301085074989,0.9011099899091827,0.23776908023483365,0.3396159912746439,0.02707683941393441,0.663340909674349,2.2513648172746343,2.160623947065069,4.030482732665713
6.0,11361,0.5694041017516064,7.0,18.0,0.7934425166531064,0.7572287803951344,0.8768577494692145,0.19027303754266212,0.34164170181238523,0.022681750447836567,0.6865847119265523,2.2375432382369316,2.108072958305403,5.786269410084986
8.0,11880,0.5413299663299663,9.0,16.0,0.7896375257726193,0.7689686349317525,0.8544761904761905,0.17625899280575538,0.33719335452660926,0.022925586283372573,0.6782171976704351,2.2215007721198727,2.0478152773449154,7.818385523639387
10.0,12019,0.5096929861053332,11.0,14.0,0.7953918555960887,0.7759462204946754,0.8258652094717669,0.1362153344208809,0.3399866126261948,0.018180760728205517,0.6896498750508859,2.2267700928977496,2.0025850040874325,10.067724976428964
12.0,12062,0.4742165478361797,13.0,12.0,0.802205327784798,0.7800447069486804,0.814481409001957,0.11052843888664785,0.3553136509313818,0.016422905047818594,0.7039529701153091,2.224679888116584,1.9570404343355001,12.030470325673129
16.0,11472,0.40803695955369595,17.0,8.0,0.8022159687015541,0.7863307497189801,0.7471624266144814,0.07556270096463022,0.3520881649877107,0.01589006921675515,0.6715997256498512,2.206514410952694,1.900417838180406,13.872403064892127
18.0,11052,0.36952587766920014,19.0,6.0,0.8051330708958035,0.7898318892522245,0.7189751801441153,0.057683839718185824,0.3615057472579326,0.014676468523892566,0.6612913404259295,2.2047525493786,1.867507380481635,15.296282069931893
