outcome,score,events,stays,auc,adjusted_or_per_10,ci_low,ci_high
Any later MAP <65,10 mmHg lower admission window q10,5720,12062,0.802205327784798,3.2388177505922773,3.079817147772499,3.4060270198633544
Any later MAP <65,10 mmHg higher updated vulnerability,5720,12062,0.7800447069486804,4.615580322320608,4.32523229073886,4.925419094231818
Hospital mortality,10 mmHg lower admission window q10,1174,12062,0.5903865765977767,1.2320407261170905,1.1646412862686695,1.303340666957053
Hospital mortality,10 mmHg higher updated vulnerability,1174,12062,0.5656671787204268,1.3363106209669913,1.2400034808995462,1.4400976313499956
ICU mortality,10 mmHg lower admission window q10,752,12062,0.6056125604341855,1.3255077416036054,1.2364574453646615,1.420971485624333
ICU mortality,10 mmHg higher updated vulnerability,752,12062,0.5824294072276464,1.4681888365399296,1.3395015574804356,1.6092392335810748
ICU LOS >=3 days,10 mmHg lower admission window q10,3956,12062,0.5236235713499868,1.0436551001974501,1.0096483710964168,1.0788072356174132
ICU LOS >=3 days,10 mmHg higher updated vulnerability,3956,12062,0.5168882441622217,1.0669384033719487,1.019680293221719,1.1163867382326262
