model,selected_lambda,assessment_loss,assessment_loss_se,paired_reduction_vs_stay_weighted_population,paired_reduction_se,ci_low,ci_high,loss_reduction_percent,n_stays
Stay-weighted population,,2.222742379268081,0.01293024438218375,0.0,0.0,0.0,0.0,0.0,12062
Stay-weighted population + level update,0.03,1.9582724301744951,0.011607211942639204,0.2644699490935863,0.012296052285563613,0.2403696866138816,0.288570211573291,11.898362651486073,12062
Stay-weighted spline population,,2.222558579824418,0.012967200279306564,0.00018379944366348432,0.0001463167009344411,-0.00010298129016802024,0.0004705801774949889,0.008269039425253005,12062
Stay-weighted spline + level update,0.03,1.9665971124207977,0.011697010504591678,0.2561452668472837,0.012366397510446766,0.23190712772680808,0.2803834059677594,11.523839615260716,12062
