flagged_percent,flagged_stays,admission_window_q10_max,later_map_below65_burden,any_later_map_below65,hospital_mortality,later_low_observations_captured,hospital_deaths_captured
5,604,52.0,0.4502076499167606,0.859271523178808,0.21026490066225165,0.15054009520322226,0.10817717206132879
10,1207,55.0,0.42390541560931694,0.8533554266777134,0.17149958574979288,0.2900952032222629,0.17632027257240204
20,2413,59.0,0.36028902201907126,0.8159966846249482,0.1433899709904683,0.49263090443061147,0.29471890971039183
30,3619,62.0,0.3162815028865809,0.7869577231279359,0.13815971262779772,0.64939582570487,0.42589437819420783
50,6031,67.0,0.24766336641604111,0.7036975625932681,0.11789089703200133,0.8525265470523617,0.6056218057921635
