label,estimate,low,high
Stay weighted training,11.898362651486073,10.814104632900916,12.982620670071231
Invasive MAP only,8.19596233562545,6.990873541612948,9.401051129637962
Non-invasive MAP only,16.158452834359203,14.929092243709858,17.3878134250085
