fold,lambda_b,intercept,slope,tuning_loss,population_loss,profiled_loss,q10_loss
1,0.03,19.6666666671691,0.666666666657187,1.9009057391280877,2.232067151689358,1.9561541946391872,1.893800480612193
2,0.03,19.6666666666388,0.666666666667126,1.8836318388602953,2.2451964638075737,1.966307088337409,1.901267121051361
3,0.03,19.0727272727278,0.672727272727262,1.8836262276733995,2.22767771302208,1.9543768713408156,1.895980077605385
4,0.03,19.6666666666663,0.666666666666671,1.8867999987244783,2.224740852554816,1.954672561012072,1.891842604134315
5,0.03,19.666666667081,0.666666666657493,1.9009768240771283,2.177838481526812,1.9324650362276952,1.86504356954926
