source,source_label,cache_schema_version,analytic_stays,map_observations,split_window_eligible_stays,train_stays,tuning_stays,assessment_stays,selected_lambda,population_loss,updated_loss,paired_reduction,paired_reduction_se,paired_reduction_ci_low,paired_reduction_ci_high,relative_loss_reduction_percent,raw_q10_loss,admission_q10_auc_later_map_below65,admission_later_q10_correlation
invasive,Invasive MAP only,3,23334,579088,20963,12578,4193,4192,0.1,1.8774858338108809,1.7236078020150376,0.15387803179584336,0.011543556832871012,0.13125266040341618,0.17650340318827054,8.19596233562545,2.001814097136111,0.7630434856914335,0.5691174067693977
noninvasive,Non-invasive MAP only,3,47059,1014849,41481,24889,8296,8296,0.03,2.3770090244709343,1.9929211423833366,0.3840878820875972,0.014909189889297738,0.35486586990457364,0.41330989427062076,16.158452834359203,2.1854110449014406,0.8204831543763196,0.703110619584824
