scenario_key,scenario_label,n_stays,method,n_attempted_replicates,n_effective_replicates,failure_count,failure_rate,loss_mean,loss_mcse,loss_mc_ci_lower,loss_mc_ci_upper,oracle_loss_mean,oracle_loss_mcse,oracle_loss_mc_ci_lower,oracle_loss_mc_ci_upper,regret_mean,regret_mcse,regret_mc_ci_lower,regret_mc_ci_upper,regret_percent_of_oracle_mean,regret_percent_of_oracle_mcse,regret_percent_of_oracle_mc_ci_lower,regret_percent_of_oracle_mc_ci_upper,calibration_p_lt_mean,calibration_p_lt_mcse,calibration_p_lt_mc_ci_lower,calibration_p_lt_mc_ci_upper,calibration_p_le_mean,calibration_p_le_mcse,calibration_p_le_mc_ci_lower,calibration_p_le_mc_ci_upper,calibration_interval_violation_mean,calibration_interval_violation_mcse,calibration_interval_violation_mc_ci_lower,calibration_interval_violation_mc_ci_upper,calibration_strict_absolute_error_mean,calibration_strict_absolute_error_mcse,calibration_strict_absolute_error_mc_ci_lower,calibration_strict_absolute_error_mc_ci_upper,offset_bias_mean,offset_bias_mcse,offset_bias_mc_ci_lower,offset_bias_mc_ci_upper,offset_rmse_mean,offset_rmse_mcse,offset_rmse_mc_ci_lower,offset_rmse_mc_ci_upper,offset_correlation_mean,offset_correlation_mcse,offset_correlation_mc_ci_lower,offset_correlation_mc_ci_upper
ideal_large_dense,"Ideal: large, dense",600,oracle,200,200,0,0.0,0.9627224457776178,0.001625319785808623,0.9595368189974329,0.9659080725578026,0.9627224457776178,0.001625319785808623,0.9595368189974329,0.9659080725578026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10013163821132567,0.000568035253582337,0.0990182891143043,0.10124498730834705,0.10013163821132567,0.000568035253582337,0.0990182891143043,0.10124498730834705,0.006555328525640979,0.0003268176258505824,0.0059147659789738375,0.00719589107230812,0.006555328525640979,0.0003268176258505824,0.0059147659789738375,0.00719589107230812,,,,,,,,,,,,
ideal_large_dense,"Ideal: large, dense",600,population,200,200,0,0.0,1.3699652392870456,0.004420131859196348,1.3613017808430208,1.3786286977310704,0.9627224457776178,0.001625319785808623,0.9595368189974329,0.9659080725578026,0.4072427935094278,0.004350914858435608,0.39871500038689406,0.4157705866319616,42.34698102795156,0.4698369887978786,41.426100529907714,43.2678615259954,0.1014534013440263,0.0012035697253816812,0.09909440468227822,0.1038123980057744,0.1014534013440263,0.0012035697253816812,0.09909440468227822,0.1038123980057744,0.013998812298812249,0.0006887942504700932,0.012648775567890866,0.015348849029733632,0.013998812298812249,0.0006887942504700932,0.012648775567890866,0.015348849029733632,,,,,,,,,,,,
ideal_large_dense,"Ideal: large, dense",600,raw_index_q10,200,200,0,0.0,1.0848216962099322,0.0026361450315853133,1.079654851948025,1.0899885404718395,0.9627224457776178,0.001625319785808623,0.9595368189974329,0.9659080725578026,0.12209925043231436,0.0018980122982382999,0.11837914632776729,0.12581935453686144,12.682631292143128,0.19546832837898592,12.299513368520316,13.06574921576594,0.12704847814222808,0.0007977996300740096,0.12548479086728304,0.12861216541717313,0.12704847814222808,0.0007977996300740096,0.12548479086728304,0.12861216541717313,0.02716687294187288,0.0007773216160800165,0.02564332257435605,0.02869042330938971,0.02716687294187288,0.0007773216160800165,0.02564332257435605,0.02869042330938971,,,,,,,,,,,,
ideal_large_dense,"Ideal: large, dense",600,affine_calibrated_q10,200,200,0,0.0,1.0605747063271673,0.002280365972598753,1.0561051890208737,1.065044223633461,0.9627224457776178,0.001625319785808623,0.9595368189974329,0.9659080725578026,0.09785226054954946,0.0015608613970044352,0.09479297221142076,0.10091154888767816,10.16880996012709,0.16276010552616832,9.849800153295801,10.48781976695838,0.1017672036297036,0.0010563192402151776,0.09969681791888185,0.10383758934052534,0.1017672036297036,0.0010563192402151776,0.09969681791888185,0.10383758934052534,0.01149509818884814,0.0006837378182247668,0.010154972065127598,0.012835224312568684,0.01149509818884814,0.0006837378182247668,0.010154972065127598,0.012835224312568684,,,,,,,,,,,,
ideal_large_dense,"Ideal: large, dense",600,unpenalized_level,200,200,0,0.0,1.0848216962099322,0.0026361450315853133,1.079654851948025,1.0899885404718395,0.9627224457776178,0.001625319785808623,0.9595368189974329,0.9659080725578026,0.12209925043231436,0.0018980122982382999,0.11837914632776729,0.12581935453686144,12.682631292143128,0.19546832837898592,12.299513368520316,13.06574921576594,0.12704847814222808,0.0007977996300740096,0.12548479086728304,0.12861216541717313,0.12704847814222808,0.0007977996300740096,0.12548479086728304,0.12861216541717313,0.02716687294187288,0.0007773216160800165,0.02564332257435605,0.02869042330938971,0.02716687294187288,0.0007773216160800165,0.02564332257435605,0.02869042330938971,2.914392453131898,0.031019509560876714,2.85359421439258,2.9751906918712163,4.14419393639115,0.023933762667253524,4.097283761563333,4.191104111218967,0.8795905066500913,0.0017894982618421261,0.8760830900568808,0.8830979232433018
ideal_large_dense,"Ideal: large, dense",600,tuned_level,200,200,0,0.0,1.0640068968796426,0.002442626040576891,1.059219349840112,1.0687944439191732,0.9627224457776178,0.001625319785808623,0.9595368189974329,0.9659080725578026,0.10128445110202454,0.0017653448399719514,0.09782437521567952,0.10474452698836956,10.524649121183206,0.183780140752321,10.164440045308657,10.884858197057754,0.11384972111222108,0.0008739960607331072,0.11213668883318419,0.11556275339125797,0.11384972111222108,0.0008739960607331072,0.11213668883318419,0.11556275339125797,0.01578918789543784,0.0006892070828609755,0.01443834201303033,0.017140033777845353,0.01578918789543784,0.0006892070828609755,0.01443834201303033,0.017140033777845353,2.6146959753749415,0.033795352604548974,2.5484570842700256,2.6809348664798573,3.751727834431658,0.02264260003205694,3.7073483383688264,3.7961073304944892,0.8790055022727208,0.0017028061470462518,0.8756680022245101,0.8823430023209314
ideal_large_dense,"Ideal: large, dense",600,tuned_level_slope,200,200,0,0.0,1.1536083845939948,0.0025159760930021724,1.1486770714517105,1.1585396977362792,0.9627224457776178,0.001625319785808623,0.9595368189974329,0.9659080725578026,0.19088593881637686,0.0021488382908267174,0.18667421576635648,0.19509766186639724,19.849067563261812,0.2304300589234108,19.397424647771928,20.300710478751697,0.09131010014291259,0.0008188643556008085,0.089705126005935,0.09291507427989018,0.09131010014291259,0.0008188643556008085,0.089705126005935,0.09291507427989018,0.011666187342749794,0.000605052679096557,0.010480284091720542,0.012852090593779045,0.011666187342749794,0.000605052679096557,0.010480284091720542,0.012852090593779045,1.1680950368829743,0.02573955421457084,1.1176455106224155,1.2185445631435332,3.863999127087029,0.017625442123035743,3.829453260525879,3.898544993648179,0.812342667873977,0.0022408661844322045,0.8079505701524899,0.8167347655954641
ideal_small_dense,"Ideal: small, dense",240,oracle,200,200,0,0.0,0.9671431232710728,0.0030637319447620096,0.9611382086593392,0.9731480378828063,0.9671431232710728,0.0030637319447620096,0.9611382086593392,0.9731480378828063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09904811305592551,0.0009063148070581129,0.0972717360340916,0.10082449007775941,0.09904811305592551,0.0009063148070581129,0.0972717360340916,0.10082449007775941,0.01062852223008468,0.000508226314325276,0.009632398654007139,0.011624645806162221,0.01062852223008468,0.000508226314325276,0.009632398654007139,0.011624645806162221,,,,,,,,,,,,
ideal_small_dense,"Ideal: small, dense",240,population,200,200,0,0.0,1.382842496260401,0.007628261264534554,1.367891104181913,1.3977938883388887,0.9671431232710728,0.0030637319447620096,0.9611382086593392,0.9731480378828063,0.415699372989328,0.007264149398582232,0.40146164016810687,0.42993710581054917,43.10978381236614,0.7833574634231573,41.57440318405675,44.64516444067553,0.1057178846905409,0.0019830869331570545,0.10183103430155308,0.10960473507952873,0.1057178846905409,0.0019830869331570545,0.10183103430155308,0.10960473507952873,0.023437817535473738,0.0011560568868811284,0.021171946037186726,0.02570368903376075,0.023437817535473738,0.0011560568868811284,0.021171946037186726,0.02570368903376075,,,,,,,,,,,,
ideal_small_dense,"Ideal: small, dense",240,raw_index_q10,200,200,0,0.0,1.0884656607737764,0.003951788422385886,1.0807201554659,1.0962111660816527,0.9671431232710728,0.0030637319447620096,0.9611382086593392,0.9731480378828063,0.12132253750270379,0.0026700801435601274,0.11608918042132593,0.12655589458408165,12.579264371321884,0.2841008863244673,12.022426634125928,13.13610210851784,0.12568372657435156,0.0014042009958633679,0.12293149262245937,0.12843596052624376,0.12568372657435156,0.0014042009958633679,0.12293149262245937,0.12843596052624376,0.02743952950984196,0.0012259963396547328,0.025036576684118683,0.02984248233556524,0.02743952950984196,0.0012259963396547328,0.025036576684118683,0.02984248233556524,,,,,,,,,,,,
