group_id,scenario_key,scenario_label,rep,n_stays,mean_index_count,mean_late_count,sd_index_count,sd_late_count,total_count_latent_level_correlation,observed_error_lag1_correlation,treatment_trigger_fraction,selected_shape_solver_converged_fraction
0,ideal_large_dense,"Ideal: large, dense",1,600,11.836666666666666,12.031666666666666,2.556210589234857,2.566120062633204,0.0061515498860196,0.0158789639097868,0.0,1.0
1,ideal_large_dense,"Ideal: large, dense",2,600,11.991666666666667,11.901666666666667,2.585098666217408,2.500483536989092,-0.0641994737513794,0.0088899944423848,0.0,1.0
2,ideal_large_dense,"Ideal: large, dense",3,600,12.03,12.08,2.6141581892451207,2.6137430544318976,0.0308282180564177,0.0143282814455013,0.0,1.0
3,ideal_large_dense,"Ideal: large, dense",4,600,11.99,12.088333333333331,2.64667870741813,2.5823073159506484,-0.0498734623527017,0.0209971175883702,0.0,1.0
4,ideal_large_dense,"Ideal: large, dense",5,600,12.083333333333334,11.981666666666667,2.5776208223985013,2.6330372888541445,0.0392245224515243,0.0166420094829225,0.0,1.0
5,ideal_large_dense,"Ideal: large, dense",6,600,12.03,12.055,2.5833226524273427,2.5270440411628416,0.0496023642829882,0.013895036776275,0.0,1.0
6,ideal_large_dense,"Ideal: large, dense",7,600,11.966666666666669,12.185,2.548145200368133,2.575233590714554,0.0719188437506197,0.0119980764868251,0.0,1.0
7,ideal_large_dense,"Ideal: large, dense",8,600,12.03,12.065,2.609684032838475,2.549170869165175,0.0190051975667796,0.0289717716982695,0.0,1.0
8,ideal_large_dense,"Ideal: large, dense",9,600,12.0,12.108333333333333,2.5815578115853994,2.588648113200953,0.0088163702941017,0.0080622754904815,0.0,1.0
9,ideal_large_dense,"Ideal: large, dense",10,600,12.118333333333334,12.215,2.568786028130685,2.607061490649331,-0.0055720655866757,0.0176687065567733,0.0,1.0
10,ideal_large_dense,"Ideal: large, dense",11,600,11.89,11.888333333333334,2.6203072370801275,2.614815351241978,0.0040988424765276,0.0153549592814025,0.0,1.0
