scenario_key,scenario_label,method_a,method_b,estimand,n_effective_replicates,loss_difference_mean,loss_difference_mcse,loss_difference_mc_ci_lower,loss_difference_mc_ci_upper
informative_monitoring,Informative monitoring,tuned_level_slope,tuned_level,mean paired stay-level assessment check-loss difference (A - B),200,0.20008909793336474,0.0033691029295503812,0.193485656191446,0.20669253967528348
informative_monitoring,Informative monitoring,raw_index_q10,affine_calibrated_q10,mean paired stay-level assessment check-loss difference (A - B),200,0.21179365644353787,0.005294045188016883,0.20141732787502478,0.22216998501205096
cluster_size_informative,Cluster size--level association,tuned_level,population,mean paired stay-level assessment check-loss difference (A - B),200,-0.30282376100002667,0.0037912764297520778,-0.31025466280234076,-0.2953928591977126
cluster_size_informative,Cluster size--level association,affine_calibrated_q10,population,mean paired stay-level assessment check-loss difference (A - B),200,-0.3291809696761533,0.0036362150819397353,-0.33630795123675516,-0.3220539881155514
cluster_size_informative,Cluster size--level association,tuned_level,affine_calibrated_q10,mean paired stay-level assessment check-loss difference (A - B),200,0.026357208676126655,0.001531899811079062,0.023354685046411694,0.029359732305841615
cluster_size_informative,Cluster size--level association,tuned_level_slope,tuned_level,mean paired stay-level assessment check-loss difference (A - B),200,0.12694388605544007,0.0027153892237006577,0.12162172317698679,0.13226604893389338
cluster_size_informative,Cluster size--level association,raw_index_q10,affine_calibrated_q10,mean paired stay-level assessment check-loss difference (A - B),200,0.03765473210514152,0.0017301698269433395,0.034263599244332574,0.04104586496595046
common_time_misspecified,Misspecified common time,tuned_level,population,mean paired stay-level assessment check-loss difference (A - B),200,-0.12645753906603702,0.0038265270218828125,-0.13395753202892732,-0.11895754610314671
common_time_misspecified,Misspecified common time,affine_calibrated_q10,population,mean paired stay-level assessment check-loss difference (A - B),200,-0.3240093294333487,0.005350668943417476,-0.33449664056244693,-0.31352201830425047
common_time_misspecified,Misspecified common time,tuned_level,affine_calibrated_q10,mean paired stay-level assessment check-loss difference (A - B),200,0.19755179036731177,0.0037113604803415546,0.19027752382584232,0.20482605690878122
common_time_misspecified,Misspecified common time,tuned_level_slope,tuned_level,mean paired stay-level assessment check-loss difference (A - B),200,-0.00661883795910443,0.0019453947822148227,-0.010431811732245482,-0.002805864185963378
common_time_misspecified,Misspecified common time,raw_index_q10,affine_calibrated_q10,mean paired stay-level assessment check-loss difference (A - B),200,0.5922749475758953,0.006511008102642372,0.5795133716947162,0.6050365234570744
level_plus_shape,Persistent level plus shape,tuned_level,population,mean paired stay-level assessment check-loss difference (A - B),200,-0.0017215047008112948,0.0009087150229312543,-0.003502586145756553,5.957674413396342e-05
level_plus_shape,Persistent level plus shape,affine_calibrated_q10,population,mean paired stay-level assessment check-loss difference (A - B),200,0.03358197593694687,0.002185012996619422,0.0292993504635728,0.037864601410320935
level_plus_shape,Persistent level plus shape,tuned_level,affine_calibrated_q10,mean paired stay-level assessment check-loss difference (A - B),200,-0.035303480637758164,0.0021606337088169226,-0.03953832270703933,-0.031068638568476997
