group_id,scenario_key,scenario_label,rep,method,penalty,tuning_loss,tuning_loss_se,mean_coordinate_cycles,converged_fraction
3,ideal_large_dense,"Ideal: large, dense",4,tuned_level_slope,3.0,1.3657729951984972,0.0623186783275916,1.5166666666666666,1.0
3,ideal_large_dense,"Ideal: large, dense",4,tuned_level_slope,10.0,1.3948772206863491,0.0674739381297812,1.3,1.0
4,ideal_large_dense,"Ideal: large, dense",5,tuned_level,0.0,1.089904855982123,0.0408508736796946,,
4,ideal_large_dense,"Ideal: large, dense",5,tuned_level,0.03,1.0924067356175082,0.0360512880757975,,
4,ideal_large_dense,"Ideal: large, dense",5,tuned_level,0.1,1.1242738979405498,0.0298184985805578,,
4,ideal_large_dense,"Ideal: large, dense",5,tuned_level,0.3,1.225199732056521,0.033330264008316,,
4,ideal_large_dense,"Ideal: large, dense",5,tuned_level,1.0,1.296554274288078,0.0373827257686721,,
4,ideal_large_dense,"Ideal: large, dense",5,tuned_level,3.0,1.3305173349338952,0.0402278333749507,,
4,ideal_large_dense,"Ideal: large, dense",5,tuned_level,10.0,1.3445381586892915,0.0416178087146076,,
4,ideal_large_dense,"Ideal: large, dense",5,tuned_level_slope,0.1,1.182630340532382,0.0330339390510365,5.641666666666667,1.0
4,ideal_large_dense,"Ideal: large, dense",5,tuned_level_slope,0.3,1.25403542562531,0.0355622618836563,2.558333333333333,1.0
4,ideal_large_dense,"Ideal: large, dense",5,tuned_level_slope,1.0,1.3088779242592172,0.038766108342492,1.5583333333333331,1.0
4,ideal_large_dense,"Ideal: large, dense",5,tuned_level_slope,3.0,1.3358234433546636,0.0408806162388754,1.35,1.0
4,ideal_large_dense,"Ideal: large, dense",5,tuned_level_slope,10.0,1.3463685901938285,0.0418563659857676,1.25,1.0
5,ideal_large_dense,"Ideal: large, dense",6,tuned_level,0.0,1.1232536064433418,0.0353249085882386,,
5,ideal_large_dense,"Ideal: large, dense",6,tuned_level,0.03,1.116486233581671,0.0345098573404107,,
5,ideal_large_dense,"Ideal: large, dense",6,tuned_level,0.1,1.130026083395253,0.0324472273184517,,
5,ideal_large_dense,"Ideal: large, dense",6,tuned_level,0.3,1.2405982940430431,0.0346418970432251,,
5,ideal_large_dense,"Ideal: large, dense",6,tuned_level,1.0,1.3238995719232818,0.0387521928044722,,
5,ideal_large_dense,"Ideal: large, dense",6,tuned_level,3.0,1.3651108766172426,0.0436680267071695,,
5,ideal_large_dense,"Ideal: large, dense",6,tuned_level,10.0,1.3862048134065723,0.0468621373766721,,
